timestamp,type,source_ip,source_port,destination_ip,destination_port,protocol,packet_size
1669870634.15368,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.161956,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.17088,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.177888,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.180573,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.183501,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.198027,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.214235,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.234449,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.245247,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.255148,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.257428,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.257969,IP,172.16.42.215,38168,99.83.183.187,443,6,198
1669870634.293187,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.298036,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.312031,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.319323,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.332012,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.334197,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.349707,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.370336,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.373927,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.385898,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.390552,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.411317,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.422196,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.431092,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.435673,IP,20.80.64.28,443,172.16.42.226,55568,6,0
1669870634.436196,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.449636,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.462878,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.469719,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.470658,IP,172.16.42.226,59718,172.16.42.1,1471,6,0
1669870634.470852,IP,172.16.42.1,1471,172.16.42.226,59718,6,0
1669870634.472278,IP,172.16.42.226,55568,20.80.64.28,443,6,0
1669870634.484684,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.484686,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.501452,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.509806,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.516343,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.534515,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.54176,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.548189,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.559017,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.590436,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.601848,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.601849,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.608635,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.622091,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.630773,IP,172.16.42.215,38168,99.83.183.187,443,6,198
1669870634.649535,IP,172.16.42.215,38168,99.83.183.187,443,6,118
