timestamp,type,source_ip,source_port,destination_ip,destination_port,protocol,packet_size
1669868533.314037,IP,172.16.42.1,1471,172.16.42.226,36136,6,390
1669868533.314972,IP,172.16.42.226,36136,172.16.42.1,1471,6,0
1669868533.406274,IP,172.16.42.1,1471,172.16.42.226,59076,6,0
1669868533.40709,IP,172.16.42.226,59076,172.16.42.1,1471,6,0
1669868533.741757,IP,162.159.134.234,443,172.16.42.226,60486,6,1395
1669868533.742511,IP,162.159.134.234,443,172.16.42.226,60486,6,1395
1669868533.742771,IP,162.159.134.234,443,172.16.42.226,60486,6,876
1669868534.28184,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868534.41821,IP,172.16.42.226,36136,172.16.42.1,1471,6,1270
1669868534.41844,IP,172.16.42.1,1471,172.16.42.226,36136,6,0
1669868534.510215,IP,75.2.39.155,443,172.16.42.215,41134,6,46
1669868534.523927,IP,172.16.42.215,41134,75.2.39.155,443,6,46
1669868534.602359,IP,75.2.39.155,443,172.16.42.215,41134,6,0
1669868534.968067,IP,172.16.42.1,1471,172.16.42.226,36136,6,208
1669868535.507491,IP,172.16.42.226,36136,172.16.42.1,1471,6,0
1669868535.525942,IP,172.16.42.226,36136,172.16.42.1,1471,6,1229
1669868535.526222,IP,172.16.42.1,1471,172.16.42.226,36136,6,0
1669868535.587528,IP,162.159.134.234,443,172.16.42.226,60486,6,241
1669868535.588393,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868535.806338,IP,172.16.42.1,1471,172.16.42.226,36136,6,494
1669868535.852209,IP,172.16.42.226,36136,172.16.42.1,1471,6,0
1669868536.166358,IP,172.16.42.226,39288,185.34.151.142,123,17,48
1669868536.327541,IP,185.34.151.142,123,172.16.42.226,39288,17,48
1669868536.562903,IP,162.159.134.234,443,172.16.42.226,60486,6,231
1669868536.736273,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868537.068746,IP,162.159.134.234,443,172.16.42.226,60486,6,433
1669868537.555902,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868537.971225,IP,172.16.42.226,60486,162.159.134.234,443,6,54
1669868537.979131,IP,162.159.134.234,443,172.16.42.226,60486,6,0
1669868538.093674,IP,162.159.134.234,443,172.16.42.226,60486,6,46
1669868538.148428,IP,172.16.42.226,36136,172.16.42.1,1471,6,1088
1669868538.148659,IP,172.16.42.1,1471,172.16.42.226,36136,6,0
1669868538.148429,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868538.223269,IP,172.16.42.226,56940,172.16.42.1,1471,6,1095
1669868538.226796,IP,172.16.42.1,1471,172.16.42.226,56940,6,139
1669868538.228473,IP,172.16.42.1,1471,172.16.42.226,36136,6,390
1669868538.229508,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868538.229509,IP,172.16.42.226,36136,172.16.42.1,1471,6,0
1669868539.176004,IP,162.159.134.234,443,172.16.42.226,60486,6,143
1669868539.408265,IP,172.16.42.226,36136,172.16.42.1,1471,6,1270
1669868539.408501,IP,172.16.42.1,1471,172.16.42.226,36136,6,0
1669868539.410864,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868540.021401,IP,172.16.42.1,1471,172.16.42.226,36136,6,208
1669868540.422637,IP,172.16.42.226,36136,172.16.42.1,1471,6,0
1669868540.430499,IP,172.16.42.226,36136,172.16.42.1,1471,6,1229
1669868540.430728,IP,172.16.42.1,1471,172.16.42.226,36136,6,0
1669868540.735917,IP,172.16.42.1,1471,172.16.42.226,36136,6,539
1669868541.284116,IP,172.16.42.226,36136,172.16.42.1,1471,6,0
1669868543.059185,IP,162.159.134.234,443,172.16.42.226,60486,6,1421
1669868543.059968,IP,162.159.134.234,443,172.16.42.226,60486,6,1395
1669868543.060639,IP,162.159.134.234,443,172.16.42.226,60486,6,1395
1669868543.060982,IP,162.159.134.234,443,172.16.42.226,60486,6,1395
1669868543.061255,IP,162.159.134.234,443,172.16.42.226,60486,6,1395
1669868543.062005,IP,162.159.134.234,443,172.16.42.226,60486,6,1395
1669868543.062442,IP,162.159.134.234,443,172.16.42.226,60486,6,1395
1669868543.062654,IP,162.159.134.234,443,172.16.42.226,60486,6,1395
1669868543.062836,IP,162.159.134.234,443,172.16.42.226,60486,6,1395
1669868543.06347,IP,162.159.134.234,443,172.16.42.226,60486,6,1395
1669868543.063679,IP,162.159.134.234,443,172.16.42.226,60486,6,1395
1669868543.063863,IP,162.159.134.234,443,172.16.42.226,60486,6,1017
1669868543.24816,IP,172.16.42.226,36136,172.16.42.1,1471,6,1095
1669868543.248394,IP,172.16.42.1,1471,172.16.42.226,36136,6,0
1669868543.248161,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868543.248162,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868543.248162,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868543.258642,IP,172.16.42.1,1471,172.16.42.226,36136,6,139
1669868543.266969,IP,172.16.42.226,36136,172.16.42.1,1471,6,0
1669868544.407755,IP,172.16.42.226,36136,172.16.42.1,1471,6,1270
1669868544.407982,IP,172.16.42.1,1471,172.16.42.226,36136,6,0
1669868544.53063,IP,162.159.134.234,443,172.16.42.226,60486,6,1421
1669868544.531227,IP,162.159.134.234,443,172.16.42.226,60486,6,1421
1669868544.531482,IP,162.159.134.234,443,172.16.42.226,60486,6,847
1669868544.93143,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868545.089324,IP,172.16.42.1,1471,172.16.42.226,36136,6,208
1669868545.13311,IP,172.16.42.226,36136,172.16.42.1,1471,6,0
1669868545.151744,IP,172.16.42.226,36136,172.16.42.1,1471,6,1229
1669868545.15194,IP,172.16.42.1,1471,172.16.42.226,36136,6,0
1669868545.453915,IP,172.16.42.1,1471,172.16.42.226,36136,6,575
1669868545.454667,IP,172.16.42.226,41564,15.237.97.214,123,17,228
1669868545.501971,IP,172.16.42.226,36136,172.16.42.1,1471,6,0
1669868545.602731,IP,15.237.97.214,123,172.16.42.226,41564,17,228
1669868545.848884,IP,162.159.134.234,443,172.16.42.226,60486,6,502
1669868546.025453,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868546.680317,IP,172.16.42.226,53147,91.189.91.157,123,17,48
1669868546.758189,IP,91.189.91.157,123,172.16.42.226,53147,17,48
1669868547.737617,IP,162.159.134.234,443,172.16.42.226,60486,6,1421
1669868547.738078,IP,162.159.134.234,443,172.16.42.226,60486,6,494
1669868548.148442,IP,172.16.42.226,36136,172.16.42.1,1471,6,1088
1669868548.148669,IP,172.16.42.1,1471,172.16.42.226,36136,6,0
1669868548.15045,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868548.222918,IP,172.16.42.226,56940,172.16.42.1,1471,6,1095
1669868548.228127,IP,172.16.42.1,1471,172.16.42.226,56940,6,139
1669868548.229908,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
